__Blurryface__,普通用户,广东 深圳,疫情让蛋糕实现了咸蛋黄自由 ?,收藏转发评论 3赞1,02月01日 22:58iPhone客户端
ME矫美玉,普通用户,天津,#抗击肺炎关爱医护# 我在“疫情一线医护?守护者后盾行动”项目捐款成功！您每捐款1元，新浪同时配捐1元！ 希望我小小的力量和@LoveWayneForever 一起，在大大的世界里温暖更多人。@北京感恩公益基金会 疫情一线医护?守护者后盾行动 2庄河市 ?,收藏转发 1评论 1赞1,02月01日 22:57OPPO A7x
Me溫柔大哥,普通用户,河北,#抗击肺炎关爱医护#予人为乐，与己而乐。我在“疫情一线医护?守护者后盾行动”项目捐款成功！您每捐款1元，新浪同时配捐1元！ 让我与@万万_Olivia 一道成为传递爱与快乐的使者。@北京感恩公益基金会 疫情一线医护?守护者后盾行动 ?,收藏转发评论赞,02月01日 22:58微公益
minaxx_,普通用户,其他,我真的要哭了，这疫情还没好转，禽流感又来了，可2020才刚到第二个月干嘛？要末日了吗？赶快好起来吧好起来吧好起来吧 ?,收藏转发评论赞,02月01日 22:59
Miraclexxv,普通用户,天津,#二月你好#求求你赶快施展施展魔力把新冠这个淘气的东东变走吧鸡瘟也赶快消失阿中哥哥生病了很难受你快点让他好起来吧我们还等着迈入全面小康社会呢拜托啦 2天津 ?,收藏转发评论赞,02月01日 22:48iPhone客户端
MissZ16111,普通用户,其他,大年三十那天去了趟超市有点咳嗽，我以为和以前那样开始了季节性咳嗽，也没管它。这两天忙着备课上了火，一喘气气管都疼。想到最近严重的疫情忙去县医院听了下，胸肺没问题，结果现在开始咽喉肿痛，看来急火攻喉，应该是咽炎。和这些大拿们一起备课真是太让人有压力了。有能力，还这么努力。凌晨一点还在备课。我也得好好加油了，毕竟每次有这样的公开课大姨妈都准时出来护体 收起全文d,收藏转发评论赞,02月01日 22:54HUAWEI Mate 30 5G
Miss咪咻咪咻,普通用户,辽宁 沈阳,爸爸镜头里的小可爱静等春暖花开 疫情消散 一起出去晒阳阳 ?,收藏转发评论赞5,02月01日 22:57iPhone客户端
moshang-,普通用户,重庆 江北区,#湖南禽流感#疫情仗没结束，禽流感又开始，新年咋就这么难呢 ?,收藏转发评论赞,02月01日 22:59华为P9手机摄影再突破
mrmanor,普通用户,浙江 杭州,网摘：人们期待“中西医结合”可以用于对新冠肺炎的治疗，这是美好的愿望。但是，不管是世卫组织还是钟南山院士这样的权威专家，或正在一线进行治疗的呼吸、感染科的医生，都一再强调，现在没有特效药，治疗药物的研发，客观上也需要一定的周期。不管西药还是中药作用的发挥，都必须坚持科学和实事求是的精神。 收起全文d,收藏转发评论赞,02月01日 22:55iPhone客户端
Mrs小璐53359,普通用户,其他,疫情过后 去见想见的人 去做想做的事 说不出是经历还是后悔，选择权都在自己手上，错了，趁不算太晚，重新来过，失去的，是你失败的经历，也算是历练 ?,收藏转发评论赞1,02月01日 22:59小米5X 拍人更美
Mr东-sir,普通用户,河南 南阳,疫情防控的一线基层感悟万家灯火离我们那么近，却又那么远#最新疫情地图##基层动态# ?,收藏转发评论赞2,02月01日 22:58荣耀10 AI变色更潮美
m穗er,普通用户,广东 广州,这场疫情为我们绝大部分90后正名，我们90后是有担当的一代 ???,收藏转发评论 1赞,02月01日 22:58iPhone客户端
Na娜波,普通用户,河南 洛阳,??2020年2月1日，pm22:25，现在全国抗击新冠肺炎中。很难，前线的你们 2泸州·泸县 ?,收藏转发评论赞,02月01日 22:36iPhone客户端
Nice丶好运姐,普通用户,湖南 长沙,等疫情过了，我最想做的事就是去吃一顿海底捞 ?,收藏转发评论赞,02月01日 22:58iPhone客户端
N视频,蓝V,None,【深圳有新冠肺炎疑似病例逃跑，后被民警寻回，医生呼吁配合诊疗】1月31日，深圳市疾控中心健教所副所长吕星发布了一则微信朋友圈称，有调查个案因不配合诊疗，私自逃走，后面动用民警才重回诊疗程序。此外，在年二十八的晚上11点多，辖区三院报告发热门诊收治的一例疑似病例也趁医生不注意时逃跑了。有律师表示，拒绝接受检疫、强制隔离或者治疗的患者，或构成“危害公共安全罪。 LN视频的微博视频 收起全文d,收藏转发 3评论 8赞7,02月01日 22:38南都视频
N视频,蓝V,None,【黄冈市长：#黄冈处理处分党员干部337人#，对督查组发现的问题感到内疚】2月1日，湖北省召开新闻发布会通报疫情防控最新进展。黄冈市市长邱丽新通报黄冈市疫情防控工作。邱丽新称，处理、处分党员干部337人，对防控工作不利的6名领导干部予以免职，其中3名是正县级干部，还有3名是乡镇的党政主要领导。对督查组在黄冈发现的这些问题，充分暴露出我们在应对疫情方面准备不充分，包括防控的措施不严、部分干部的作风不实，对此我们确实非常内疚，也非常自责。#黄冈市市长说前期认知准备都不足# LN视频的微博视频 收起全文d,收藏转发 1评论 3赞7,02月01日 22:59南都视频
October是肉肉,黄V,湖南,#湖南禽流感#听说新冠肺炎封城特意从市里跑回乡里躲躲，没想到躲到了一个更危险的地方。就是想着在市里不方便买菜了，乡里有鸡有鸭吃，可以过个好年，没想到禽流感来了。 2邵阳 ?,收藏转发 5评论赞,02月01日 22:51iPhone 8 Plus
ok的老王,普通用户,北京,『居家治疗攻略丨疑似感染新冠病毒，自我隔离四天好转，同济医院周医生怎么做到的』O居家治疗攻略丨疑似感染新冠病毒，自我隔离四天好转，同济医院周医生怎么做到的 ?,收藏转发评论赞,02月01日 22:31坚果手机 Pro
Panda1907,普通用户,福建 厦门,#疫情结束后你最想做什么#把自己关个几天，好好睡觉，好好陪爸妈。数不清是第几个晚上了，从除夕那天开始吧，每晚饭点都会接到领导的电话或微信：“你还在镇里吧？”讲真，我真的不是一个热爱工作的人，认真履职的同时，我也想好好陪家人。 ???,收藏转发评论赞,02月01日 22:59Android
panda雷,普通用户,黑龙江,从武汉发生疫情到现在以至于到绥化现在的封城只希望家人 朋友 同事 还有我的宝宝能平安度过这一切??????好吧 刚想苦情一下 谭阔在那屋 嗷嗷喊 异常兴奋??一下把我拉回来了  一切都是幸福的 ?,收藏转发评论赞3,02月01日 22:59??iPhone XS Max
Peri孙孙,普通用户,其他,我不太喜欢议论国事，哪怕这次新冠疫情，对我来说也是照顾好自己和家人为重，其他不想多说，早已失望。可是看他国官员由于撤侨被染人数增加到20而自杀，心情一下子很闷，喊再多的加油都改变不了上层的本质，待灾难过去，还复原样。 ?,收藏转发评论赞,02月01日 22:11iPhone客户端
potterycat,普通用户,河南 郑州,《10天，总理两次和他握手》1月30日，总理在中国疾控中心召开座谈会，就进一步加强科学防控疫情听取专家意见。O网页链接 ?,收藏转发评论赞,02月01日 22:57百度App
Powerful-killer,普通用户,其他,我是真的太爱鳌拜了 怎么会有这么奶的崽啊靠好想鳌拜团子奥利奥要不是疫情…呜呜呜 2天津 ?,收藏转发评论赞3,02月01日 22:59不能失联的iPhone XS
pp培,黄V,湖南 长沙,#韩剧TV崩了##爱的迫降# ??爱酱是我第一部死守本放追的韩剧~wuli玄彬欧巴?孙仙儿欧尼简直太可了！每天关注疫情太压抑了，昨晚睡3个小时的我真的需要看赫赫和莉莉甜甜的爱情调剂一下…文盲式看直播追剧真是不一般的体验！看在线人数突破100万，知道有好多人和我一样听不懂韩文靠猜吧~还好演员们的表演都好有感染力，可以跟着一起笑一起哭！一直以来都特别喜欢玄彬欧巴的表演，欧巴非常擅于细节的把控，每一个角色都是细致地揣摩和对细节的刻画，深入人心。孙艺珍姐姐也是演什么像什么！遇到这样的神仙颜值?神仙演技组合不得不看剧啊！绝了！??????嗯，赫赫莉莉明晚再见！?? 收起全文d,收藏转发评论赞,02月01日 22:58iPhone客户端
Push-Ups,普通用户,上海,今天深圳某医院在确诊病人粪便中检测到病毒。而在美国首例治愈报告中，也有类似的结论（腹泻排泄物）。『重磅！美国首例新冠病毒确诊病例康复全记录』O重磅！美国首例新冠病毒确诊病例康复全记录 ?,收藏转发 2评论 3赞,02月01日 22:53OnePlus 7 Pro
Qrious乔治,黄V,福建 厦门,自从世卫将新冠病毒疫情列为国际关注突发公共卫生事件后，我这两天就陆陆续续收到国外客户的关心问候，所以…接下来国外各大展会可能会相继受到影响，近期国内有出国看展的人，一定要注意??可能过程会很麻烦！麻烦！?? ?,收藏转发评论 3赞5,02月01日 22:20iPhone XR
RachelQ溱,普通用户,四川 成都,消防战士代晋恺 本来原计划明天和外婆来成都看你们，因为疫情不得不退了票，等春暖花开时，我和外婆一定会来看你们的！武汉加油，中国????加油！我相信一切都会好起来的！ ?,收藏转发 6评论赞4,02月01日 22:58消防战士代晋恺超话
rammstein531,普通用户,山东 济南,疫情来的太突然，自己在家的日子只能约生死局。突然觉得会做饭是一项多么重要的技能！！！ 2济南·印象济南?泉世界 ?,收藏转发评论赞,02月01日 22:57HUAWEI P20 Pro
Renee圆嘟嘟,普通用户,上海 长宁区,保护好自己就是对抗疫情工作最大的支持～?? ?,收藏转发评论 2赞1,02月01日 22:59iPhone客户端
Ricky_小谦儿,普通用户,海外 澳大利亚,这个地球??怎么了？？？新冠肺炎疫情还没稳住，丹麦????又出现了H5N1，紧接着就在中国出现亚型高致病菌。 2达州 ?,收藏转发评论赞,02月01日 22:50iPhone 8
Shmily402,普通用户,云南 昆明,搁置了快五年的涂色书，2015年红极一时，兴冲冲买回来励志要好好涂完，可惜只有一个开头，然后因为孩子、因为工作等等原因，就被搁置在书架的角落。。。最近因为新冠病毒被困在家，天天看着老公儿子都要腻了的感觉今天无意间发现这个，拿出来静下心涂了一页。虽然没有天生的艺术细胞，按照自己的认知和理解涂完后，心理有些许理解艺术家的笔下生花的感觉了。生活中的美好需要自己去发现 收起全文d,收藏转发评论赞2,02月01日 22:31Redmi Note 8 Pro四摄
shy无念,普通用户,其他,#疫情仍处于扩散阶段#能不能报道一些真实情况？ ?,收藏转发评论赞,02月01日 22:59前后2000万 OPPO R11s
Silver-hornking,普通用户,江西 南昌,2020发生了啥:中国新冠病毒澳洲森林大火+洪灾日本9级地震科比飞机坠毁遇难湖南禽流感俄罗斯圣彼得堡体育馆坍塌英国脱欧伊朗击落乌克兰民用客机阿富汗坠机东非蝗灾菲律宾火山喷发美国流感土耳其地震克什米尔雪崩西班牙风暴袭击印度尼西亚洪水美国驻巴格达大使馆被火箭袭击(刚过完一个月，后面另行补充) 收起全文d,收藏转发评论 5赞3,02月01日 22:36小米8周年旗舰手机
Simon_688,普通用户,海外 加拿大,D100百日问心这世间什么是对什么是错韩红一个人的力量映衬出某会的龌龊形式主义和官僚主义的毒害远比病毒更伤及人心真正的捐助和行动远比口头的声援远比浮夸煽情的文章来的实际相比那些感性宣传我更希望是科普如何防疫更希望是做诸如协调口罩或急需物资更希望是做志愿接站协助同事返岗等实际行动看到朋友圈有句话很好疫情是照妖镜有人慷慨解囊有人中饱私囊疫情照出某些组织的庸怠之风照出国人依然缺乏理性科学的思维大家对生命的敬畏和尊重还相差甚远照出我们的选人用人依然存在弊病照出我们的价值观和评价标准依然有诸多误区“野生的比养殖的更好，色泽好看的苹果更好”照出任何科技都是把双刃剑高铁的提速 也会加快病毒的散播5G网络的提速 也会加快谣言的散布善待自然 尊重科学 依法合规 公正透明 应急管理……我们还有很长的路要走人在做 天在看积德又何须人见 行善自有天知今天确定不能如期回国似乎是一群黑天鹅都来我这了很想我的女神喜欢她的肤色喜欢她的干净喜欢她的眼睛喜欢她的声音喜欢她的衣品甚至喜欢她的气息喜欢她倔倔的任性喜欢她善良的温暖喜欢她安静的天真又喜欢她傻呆的可爱我没那种命女神怎么会喜欢我可心里每每想起她的美好每每怀念起初识时的快乐心里依然不想放弃希望每每在凌晨三四点醒来的夜里想起的都是她念念叨叨的也是她我的人生里来来往往很多人亲朋 师长 甚至种种坏人走进我心里的重重踩在我心里日日行走在我心坎窝的只有她一个人人生路父母是起点而她是我已认定的灵魂归宿爱一个人有甜 有苦 也有痛或许我所做的一切在很多人看来觉得可恶可憎所以一直以来一直渴望有人懂我的狼狈懂我的真诚懂我自欺欺人 自作多情的心酸一年又一年孤苦依旧感叹光阴似水初识她都快是五年前的时候她也已要奔三微博似乎都停更了两年（希望是因我停更，又负疚会是因我）金牛座的倔强处女座的较真没有相爱却相杀多年我跟她说我跟她是天生冤家可或许在她心里我连冤家都不够格有时候问她有没有跟我这个跳梁小丑战斗出点感情她从没有回答过每每想起她 想起过往心里总是会痛 收起全文d,收藏转发评论赞1,02月01日 22:55Android
SongZijing,黄V,北京 海淀区,（不管对柴静有什么看法都先闭个嘴）可能未来我有孩子，可能没有，但未来一定会有新生的孩子，他们可能也会通过长辈的诉说像了解非典一样了解到新冠病毒的事情，他们也会像柴静当年设想的一样问自己的长辈，当时你在干嘛呢？如果我按照现在的状态告诉她，阿姨当时在写开题呢，捐了钱，是的捐了钱。那你为这件事除了捐了钱还做过什么呀？没有了呢，阿姨就听从政府的号召，每天在家里不出门。哦，那你不是英雄啊。心里有些不是滋味。 收起全文d,收藏转发评论 1赞1,02月01日 22:41微博 weibo.com
Song林格,普通用户,海外 罗马尼亚,动感光波biu biu 疫情快过吧?? 2安康 ?,收藏转发评论赞,02月01日 22:58iPhone客户端
strawberryLIST,黄V,其他,我看到了全国各地新增确诊人数我看到了全国各地接连发出延迟复工的通知我看到了四川每天在新增确诊人数我没看到四川找到解决疫情的方法也没看到四川发出延迟复工的消息也就是说，哪怕疫情这么严重，坚强的四川人民要在后天走进办公室开始工作了大概是四川人民留下了太过坚强的印象，所以面对新冠状病毒也毫无畏惧可以无畏地复工了吧#请求四川延迟复工##四川省不延迟复工决定# 收起全文d,收藏转发评论赞5,02月01日 22:34朱正廷的珍珠糖
sumooning,普通用户,山东 青岛,等到疫情过去，一起去看海吧！ 2青岛 ?,收藏转发评论赞1,02月01日 22:58yn.iPhone客户端
Sunny想奶牛,普通用户,河北 石家庄,写一下这几天心得学业不高，只能粗看疫情时期，大捞特捞不捞钱财，就是口罩医护人员，奋战一线后方十字，供给不足公车一来，先拿一箱人民捐赠，实归领导敢问十字，数亿捐款，进谁腰包？敢问十字， 百万口罩，是否医疗？当有医疗物资供给的医生才是医生当有人民支持的政府才是政府我们热爱这个国家，我们民族有着非同小可的凝聚力 大家都想帮助武汉，帮助生病的中国，不要寒了，这四万万中国人乃至医生护士的心??#央视记者采访武汉协和医院##当有医疗物资供给的医生才是医生##22岁感染科护士的手# 收起全文d,收藏转发 18评论 17赞142,02月01日 22:57换了新的iPhone XS Max
SunVvvGA,黄V,北京,初八了 新冠肺炎疫情扩散极快 每天醒来就是一千多病例的增长 根本不想回京 粗略算下这半个月买口罩等防护用品花了我600多了 可是物流太耽误事了 这么下去我最近买的KN95和84根本来不及在我回京前到家 那么就让它替我保护我妈妈和瑶瑶吧想买好多大家伙做好吃的 想去新地方打卡 想运动 想读书 想自由 收起全文d,收藏转发评论 2赞1,02月01日 22:58??iPad mini4
superCCo,黄V,四川,从去年台风肆虐川航第一个冲上塞班岛接国人回家到今年疫情肆虐全球 很多国家限制入境 各大航司都取消航班 各自改签川航UUU又一次空机前往????罗马 ????特拉维夫 ????胡志明 接国人回家 责任担当的红色??飞机[强][强][强]超级大赞 ?,收藏转发 1评论赞29,02月01日 22:59iPhone XS Max
sweetlhan,普通用户,江苏 南京,#共战疫情渝你同在#小善意，大温暖。我在“抗击疫情，重庆“雄起”！”项目捐款成功！和@肖战DAYTOY公益站 一起用善举温暖更多心灵！@重庆市慈善总会 抗击疫情，重庆“雄起”！ ?,收藏转发评论赞,02月01日 22:59微公益
sxy微尘,普通用户,河南 南阳,人最难能可贵的品质之一就是发现幸福在与新冠肺炎这场持久战中，我从中也觅到了幸福。爸爸常年不在我的身边，除了春节就很难相聚。疫情虽阻拦了他返工的脚步但却让我们有更多的时间与彼此相处。我希望疫情不要再夺走更多人的生命，也希望能和家人一同珍惜这难能可贵的相聚时光，不负韶华。 收起全文d,收藏转发评论赞1,02月01日 22:58魅蓝 E2
SYLLLVIE,普通用户,海外,疫情结束后 你第一次相见的人 会是谁 微博视频 ?,收藏转发评论赞5,02月01日 22:59微博视频
s松露s,普通用户,河北,说实话，每次看rs上的疫情，真的好难受，说不出里的感觉，感觉危机就在身边，不知道什么时候危险就会降临，像是一双隐形的双手随时会把你带走，每每告诉自己什么事都没有，但是恐慌真的常伴，看到一个一个的人倒下，被感染，无助，就请问那些吃野味儿的，现在你们的良心会痛吗？还有这些发国难财的人，希望你们下辈子别活物了，你们不配 收起全文d,收藏转发评论赞,02月01日 22:59vivo Z5全面实力派
TANG小花儿,普通用户,其他,我家这种十八线的小城市，从明天开始也停各项公共交通工具了，这大概是从疫情、经济、政治等各类因素综合权衡结果吧～常驻人口不到500万，确诊人数43，真的需要？现在下面的县乡到处封路，禁止任何人车出入，救护车进不了、任何物资车无法出入，农民一年养植的东西运不出去～“封村”“封城”这种极端的手法，现在似乎像另一场“瘟疫”席卷全中国，教条主义要不得、形式主义更要不得。不是说封有问题、也不是说封的不对，还是要根据各区域具体情况实事求是。希望疫情早日过去，大家尽快恢复正常生产生活吧。 收起全文d,收藏转发评论赞,02月01日 22:57iPhone客户端
Tara_Heart,普通用户,湖北 武汉,宠物不会传播新冠病毒，请各位宠物主人不要听信谣言！?????? O网页链接 ?,收藏转发评论 1赞,02月01日 22:51iPhone 7 Plus
tear04,普通用户,江西 南昌,一个疫情，把一个地方的底子全翻出来了，真的真的烂透了。 ?,收藏转发评论赞,02月01日 22:59微博国际版
tian姑娘很nice,普通用户,天津 塘沽区,美国首例新冠病毒患者使用未获批药 remdesivir 后大幅改善，它有望成为病毒克星吗？ ?? O网页链接 来源：@知乎 果然牛炸天的知乎，从新西兰文章。从合成路径。。制剂vehicle。希望接下来的remdesicir在临床治疗冠状病毒上取得成功 ?,收藏转发评论赞,02月01日 22:06知乎客户端
Tong欸欸,普通用户,天津 武清区,白天要在医院抗击新冠！晚上回家还要给楼道堆杂物引燃的灭火！一整栋楼的浓烟～下楼抱着被窝的邻居～扛着桶装水下楼的肚肚～就说能不能别乱丢烟头！能不能别乱丢杂物！怕怕～@奥克斯物业 @武清热线 2天津·盛世馨园 ?,收藏转发评论赞3,02月01日 22:31iPhone客户端
ttzx6012,普通用户,安徽 合肥,随着新冠病毒抗击的时间越来越久，这次伴随着春节假期的延长，很多人没有出门，只是必要时出门才出门，有些人却不当一回事，仍然到处溜达，和人聊天，殊不知潜在的风险已经存在了。还有各种新闻，酒精，84，口罩全国各地都很难买到。昨天的双黄连口服液一出来也是招到人们的疯抢。在这个信息化的时代，消息一出来，很多人们无从考证，等到有专业人士出来证明或者辟谣的时候，疯抢的局面已经开始了。人们该相信谁？毕竟非专人事还是多数，在疾病肆虐的时候，只有找到办法控制疫情的扩散，做好防护才是最重要的吧。 收起全文d,收藏转发评论赞,02月01日 22:29iPhone客户端
uknowgrace,普通用户,湖北 武汉,『“新冠肺炎”造成巨大网络恐慌，要想一个办法-沙烨-观察者网』O沙烨：关于新冠肺炎，该转变思路了 ?,收藏转发评论赞,02月01日 22:39iPhone客户端
Ulan_lee,普通用户,海外,刚出去转了一圈，好久不来一辆出租车，走路步行准备买点吃的菜什么的，结果去超市吃了闭门羹，不是超市人要下班，就是超市关门了，还没到晚上7点，以往六点半还能买东西，OK，看看药店，口罩，酒精无，售罄，摇头（没有），走在空旷的大街，人车寥寥，偶尔听到喇叭宣传预防新冠肺炎病毒的知识，天挺冷的，但这不是街上人少的主要原因，这就是疫情防控下的赛汗，口罩没有，超市早些下班，饭店无人问津，没啥事，人们都不咋出来，不知道这样的日子什么时候到头，但总比之前很多人上街，在疫情宣布以后还不戴口罩已经强得多了，街上是有点荒凉的感觉也正常，毕竟内蒙也有确诊病例，大家都怕，特殊时期嘛，离开学的越来越近了，虽然开学延期了，可早晚也得开，什么时候开学我也决定不了，反正还是得有自己的计划，论文答辩还有考试准备是今年的重点，预防病毒是基本，还得注意发展，先歇一段时间，调整心态，扩展一下眼界，马上毕业，学生时代逐渐远去，但学习是终身的，即使最后不从事法律行业，我也觉得选择法律这个专业是没有错的，我现在越来越觉得思维比知识更重要，心态比能力更重要，被人理解是一件奢侈的事，尽力证明自己就好了，别轻易向现实妥协，该固执的时候还要固执呀 收起全文d,收藏转发评论赞1,02月01日 22:04魅族 Note8 拍照手机
uneteddy,普通用户,其他,9M20D 被新冠肺炎搞得人心惶惶，肥吨已经好久没出门了。在家里最远的地方就是去阳台晒太阳了，只能在家里训练他爬来爬去，终于学会下楼梯了，不过还是有点怕怕的。这种姿势好像有点不安全？明天再教他用脚先下吧 Luneteddy的微博视频 ?,收藏转发评论赞,02月01日 22:40iPhone客户端
v1p丶快乐的傻子,普通用户,上海 奉贤区,#抗击新型肺炎我们在行动# 村自为战 坚持斗争，打好抗击新冠疫情攻坚战！！！ Lv1p丶傻傻的活着的微博视频 ?,收藏转发评论赞,02月01日 22:50荣耀V9 我想要的快
VictoRio9,普通用户,天津,#湖南发生家禽h5n1禽流感疫情# H5N1禽流感病毒是一线畜牧防疫工作者一直在与之战斗的一个病毒，不是新发现的，致命性高，挺严重。但它至少在目前而言不具有人传人的现象，所以正常人尽量避免接触活禽就好，不要过分对这个病毒产生恐慌吧。至少最大的敌人还是新冠。 ?,收藏转发评论 1赞2,02月01日 22:59iPhone
v四鸡,普通用户,宁夏,闽宁镇富宁街九和春药店（原闽宁镇百姓大药房），三楼一家住户因为接触武汉回来的新冠确诊病人，发展为疑似病情被居家隔离。但是一楼药店还在正常营业，买药的人还很多，最可怕的是公用一个通道，还通过后门来来往药店。这种情况已经发生两天了，药店为了正常经营不顾买药顾客和店员的身体健康，如果疫情传播后果不敢想象，保证所述如实。这种情况该向哪些部门反应呢？@问政银川 2银川 收起全文d,收藏转发评论 8赞1,02月01日 22:09HUAWEI P10 Plus
wangzibobo,普通用户,北京,重大发现！深圳部分确诊患者粪便中检测出新冠病毒O重大发现！深圳部分确诊患者粪便中检测出新冠病毒 ?,收藏转发评论赞,02月01日 22:54腾讯新闻客户端
whg山水,普通用户,其他,发表了博文《致敬白衣天使》致敬白衣天使瘟疫无情人有情。正值新冠病毒蔓延神州大地之关键时刻，我们最可爱的白衣天使舍小家为大家，不避风险、挺身而出，义无反顾地奋战在抗击新冠病毒第一线，可歌可泣，令人肃然起O致敬白衣天使 ?,收藏转发评论赞,02月01日 22:18新浪博客
willi-s,普通用户,None,这次疫情对于健康的人来说，最受考验的是能不能消受了“闭关在家”！说实话，我们家还是消受得起的。太多人不断在微信里抱怨“无聊”，我们夫妻俩居然无感他终于可以不受打扰地学习，我也可以不受打扰地鸡娃兼追剧，然后我们还能自由互换。终于尝到“混合双打”鸡娃的滋味感觉一周下来略有成效，关键是娃也甘愿不出门，比上学学得还多 2南京·中央门 收起全文d,收藏转发评论赞,02月01日 22:58HUAWEI P20
Wo吃米_,普通用户,北京,我一直都是 想一出是一出 没有什么明确的愿望 看到什么都想试试之前看《看见》的时候觉得 当记者真好 能接触到那么多大大小小里里外外的事 永远比大众清醒 看得清楚 一边冒险一边济世 冲在第一线 镜头像镜子一样亮堂堂疫情来了 看到无私无畏 永远保护我们的医护人员又觉得 学医也不错 即使是我从没想过的职业 但那种精神不由得感染着你 如果我也可以做点什么该多好 我会像他们一样吗但这两天 负面新闻又开始增加 医护人员快扛不住了 社会各方一阵阵的悲鸣 只手遮天的那些人不管你什么人间疾苦 这可能是整个国家和社会的悲哀 而我们又能做什么呢 想为腐败的体制注入更多能见的光的灵魂 只能深入其中原来读不懂鲁迅先生 如今才发现实践是检验真理的唯一标准 当你像他一样站在这里 才能明白他说的话的含义 学医救不了中国人 人血馒头就是有人吃的喷香时代的车轮在前进 发展总是螺旋式上升 历史的悲剧随时可能会重演 我们所能看到的只是这茫茫世间太渺小又不值一提的喜乐 然而大部分时候 这就是我们的全部 收起全文d,收藏转发评论赞,02月01日 22:59微博国际版
WphXwAn,黄V,海外,最近的两个月地球怎么了??澳洲到现在山火没有消灭！各地又接连发生地震！还发生了蝗灾！在地球的另一半还发生了洪涝！国内新冠还没有控制，又出现了禽流感！地球可能是在tell us :iam breaking?? ?,收藏转发评论赞3,02月01日 22:49HUAWEI nova 2s
www,普通用户,江苏 苏州,#最新疫情地图#退几天微博  最近真的很难受  接受不了了 ?,收藏转发评论赞2,02月01日 22:58iPhone客户端
W一骑绝尘T2020,普通用户,陕西 西安,《美国首例新冠患者用的“神药”究竟是啥？中国患者能用上吗？》1月27日，《科学》杂志曾发表一篇报道，《抗HIV组合或其他现有药物能战胜新冠状病毒吗。O网页链接 ?,收藏转发评论赞,02月01日 22:43百度App
xiao-keke,普通用户,其他,我觉的所有事情的发生都有其意义，当大家被封在家中不能出门，意义在于让我们有时间陪伴、开发了自己的新技能、或者静思……自疫情的披露开始，官员的表现、决策的独断与疏漏、红十的胡作非为等等，暴露出很多问题，如果以此为鉴，有及时得力的举措，国家会越来越好，国家的走向就是历史所决定的，这就是事情发生的意义。 收起全文d,收藏转发评论赞2,02月01日 22:56iPhone客户端
xingguangmeigui,普通用户,江苏 扬州,美国首例新冠患者用的“神药”究竟是啥？中国患者能用上吗？ O美国首例新冠患者用的“神药”究竟是啥？中国患者能用上吗？ ?,收藏转发评论赞,02月01日 22:59学习强国客户端
xj丝路蓝天,普通用户,新疆 乌鲁木齐,美国新冠肺炎患者使用有效的这款药，2天后中国启动临床试验_手机搜狐网 O美国新冠肺炎患者使用有效的这款药，2天后中国启动临床试验 ?,收藏转发评论赞,02月01日 22:14iPhone客户端
xsjyjgl,普通用户,浙江,梅雪如海何曾赏，孤坐家园空徬徨。春节长假躲新冠，偶逢出门忙武装。 ?,收藏转发 2评论赞7,02月01日 22:35iPhone 8
xx张xinyuan原,普通用户,山西 吕梁,抗击病毒，从雪人开始#下雪啦##疫情抗击# ?,收藏转发评论赞1,02月01日 22:57荣耀20 PRO
x秋水揽星河,普通用户,湖南,#湖南禽流感#湖南人民哭了，新冠是重灾区还没结束呢 ?,收藏转发评论赞,02月01日 22:37小米8青春版 潮流旗舰
yingyingao20,黄V,北京,《武汉P4实验室，为何在这次新冠病毒疫情中失去了“声音”？》为什么在疫情早期没有通过报道让大众尽早得知。O网页链接 ?,收藏转发评论赞,02月01日 22:26iPhone客户端
yini-妮,普通用户,湖北 武汉,一场疫情既像反光镜又像照妖镜。可以看到很多光亮，也可以看到更多牛鬼蛇神。除去感动，担忧，愤怒，无奈。只希望一切都快点好起来。祈祷平安，健康。 ?,收藏转发评论 2赞2,02月01日 22:58iPhone客户端
YL-W1993寒山,普通用户,江苏 苏州,抗击新冠，坚持锻炼?? ?,收藏转发评论赞,02月01日 22:17VUEVlog
yogaJlmn,普通用户,其他,新冠肺炎还没好，又有禽流感了，赶紧好起来啊?????????? ?,收藏转发评论 1赞1,02月01日 22:53iPhone客户端
Yolanld,普通用户,云南,疫情赶快结束吧，希望大家都平安喜乐健康。?? 2大理白族自治州·祥云县 ?,收藏转发评论赞3,02月01日 22:57iPhone客户端
YOLO_o,普通用户,山东 潍坊,有道理『“新冠肺炎”造成巨大网络恐慌，要想一个办法-沙烨-观察者网』O沙烨：关于新冠肺炎，该转变思路了 ?,收藏转发评论赞,02月01日 22:28iPhone客户端
Young_sik,普通用户,浙江 杭州,【深圳确诊患者粪便呈病毒阳性 #新冠肺炎或可粪口传播#】2月1日晚，深圳市第三人民医院发布最新研究成果，该院肝病研究所研究发现，在某些新型肺炎确诊患者的粪便中检测出2019-nCoV核酸(新型冠状病毒)阳性，很有可能提示粪便中有活病毒存在。深圳市第三人民医院副院长刘映霞提醒广大市民，新型肺炎也许可以粪口传播，记得戴口罩的同时，要勤洗手，注意个人卫生。#抗击新型肺炎我们在行动##新型冠状病毒#  O网页链接 收起全文d,收藏转发评论赞,02月01日 22:53
